species,t_exp,C_cpf,C_end,wetmass_g,pct_hindlimb
pseuda,10,0,0,0.24,0
pseuda,10,0.8,0,0.28,0
pseuda,10,3.12,0,0.18,0
pseuda,10,12.5,0,0.16,0
pseuda,10,50,0,0.18,0
pseuda,10,200,0,0.14,0
pseuda,10,0,0,0.24,0
pseuda,10,0,0.8,0.2,0
pseuda,10,0,3.12,0.2,0
pseuda,10,0,12.5,0.07,0
pseuda,10,0,50,0.039,0
pseuda,10,0,200,0.032,0
pseuda,30,0,0,0.45,92.8
pseuda,30,0.8,0,0.51,83.3
pseuda,30,3.12,0,0.47,83.3
pseuda,30,12.5,0,0.27,55.5
pseuda,30,50,0,0.39,86.7
pseuda,30,200,0,0.36,76.7
pseuda,30,0,0,0.45,92.8
pseuda,30,0,0.8,0.36,94.4
pseuda,30,0,3.12,0.35,72.2
pseuda,30,0,12.5,0.07,0
pseuda,30,0,50,NA,NA
pseuda,30,0,200,NA,NA
rana,14,0,0,0.079,NA
rana,14,0.8,0,0.069,NA
rana,14,3.12,0,0.082,NA
rana,14,12.5,0,0.058,NA
rana,14,50,0,0.057,NA
rana,14,200,0,0.055,NA
rana,14,0,0,0.079,NA
rana,14,0,0.8,0.03,NA
rana,14,0,3.12,0.079,NA
rana,14,0,12.5,0.032,NA
rana,14,0,200,0.062,NA
rana,34,0,0,0.197,NA
rana,34,0.8,0,0.194,NA
rana,34,3.12,0,0.218,NA
rana,34,12.5,0,0.144,NA
rana,34,50,0,0.159,NA
rana,34,200,0,0.099,NA
rana,34,0,0,0.197,NA
rana,34,0,0.8,0.132,NA
rana,34,0,3.12,NA,NA
rana,34,0,12.5,NA,NA
rana,34,0,200,NA,NA
rana,54,0,0,0.515,NA
rana,54,0.8,0,0.542,NA
rana,54,3.12,0,0.585,NA
rana,54,12.5,0,0.565,NA
rana,54,50,0,0.410,NA
rana,54,200,0,0.250,NA
rana,54,0,0,0.515,NA
rana,54,0,0.8,0.298,NA
rana,54,0,3.12,NA,NA
rana,54,0,12.5,NA,NA
rana,54,0,200,NA,NA