spc.Z_mean_UGent,spc.eta_AS_juv,weight,loss
0.7512705980319884,0.7003077394135507,0.00013516286693504117,0.1168944161192746
0.7268767233043171,0.9119438097277099,0.003954986300833922,0.11461653483670452
0.682640088348237,0.8827950007151057,0.0033746893661358406,0.11112702450080253
0.7844501785536913,0.7321994090536573,0.0013491186241727836,0.11728850011462691
0.7865286353648124,0.7267634727707667,0.002765709866123525,0.11032509060454421
0.7335376586774088,0.9933262331284652,0.001672555279807465,0.12258019285930748
0.7432963487825568,0.7209780177444183,0.0008222374417049794,0.1126094021376053
0.7466682585172115,0.7084434451151914,0.000154475150950085,0.11383171239181249
0.7109952866176548,0.9952350724194315,0.013485449679348047,0.11482839874058527
0.6854208186252425,0.8674026441434832,0.000612271827312849,0.12482543295162243
0.7456530701415811,0.9535739846271865,0.007084264211534455,0.11905886983734235
0.8118258549370907,0.9501172780428772,0.0016948274513451489,0.11941480564858058
0.7303093577298071,0.9918672567998567,0.011466641887063382,0.1135593756686953
0.7510988398916114,0.7108561100366664,0.00012282606637723404,0.11972621785355897
0.7327845557321684,0.8899565255004184,0.004717800327826479,0.1194533910031625
0.755537046757368,0.953747297324923,0.005665098281705206,0.10725440319522245
0.7153077703606657,0.9501618474416312,0.004502366509767462,0.11785583533340958
0.7284864163071887,0.8866857881292856,0.0037208654709550834,0.11812431406368717
0.7798530426736853,0.870620964676503,0.0031957939814186613,0.11345307363397225
0.7792864619557446,0.7895090078860094,0.0025325364834612877,0.11538344418783587
0.7787948452463485,0.8716073395762056,0.0031423353424661887,0.112807920726558
0.7030807562162891,0.9834528451792839,0.001441087060652241,0.11854795926581949
0.8081892485548002,0.9340028735038295,0.00991391066513219,0.10081518633838424
0.8338289174141729,0.8498170956634964,0.05690964225436877,0.0974646174731255
0.7338384237363982,0.8939750622826179,0.0010041663142212665,0.12437368468238286
0.7686582580608674,0.8136154996386337,0.012267152263014204,0.10529228943284238
0.7643820213656297,0.847875039478635,0.20472803417004312,0.09439145224974826
0.7813278838497478,0.7972899119658245,0.002123020573206692,0.11487181080131013
0.7169937410352878,0.939072848745405,0.0015236272285173932,0.12375549278939027
0.8081705478421255,0.845622591091652,0.008360793955640086,0.11816350050412328
0.7773162997874371,0.8073955605751857,0.0011741208595464525,0.11891283141206135
0.7008749647607226,0.9601843158297152,0.0019727698612809564,0.11895664482115957
0.8116286516737486,0.8269229034155388,0.00788890980901542,0.10957995221195396
0.7573022157899448,0.9730324615899926,0.0019262762535746884,0.11791729124810481
0.7483251706703671,0.6974506416680978,3.404792024202585e-5,0.1219487726561726
0.8099635864023387,0.901838469081923,0.0017975852566027638,0.12180009869598604
0.7499381444358487,0.6893082235872612,0.00020546353171134828,0.10698092364378682
0.7784443879713682,0.8157160768257006,0.0004017614612406949,0.12310474474220591
0.8313220272241981,0.8225073779668407,0.0053857787423047246,0.1157308838190427
0.7469748757437318,0.6948554192900367,1.999657256075942e-5,0.12341287577883768
0.7108577670316878,0.9343070099506781,0.010785239557087083,0.10100161343605477
0.8879326878810553,0.7319786891463786,0.011373762689135009,0.11496003142640886
0.7526433890665534,0.9795936548210441,0.0072501635277501236,0.11839266478442073
0.7352364493989132,0.8111222678418473,0.012307389686109723,0.11462014794378741
0.7672731776775212,0.8267069894878517,0.0062779408207254885,0.12007641446463917
0.808535785569002,0.8739068374554402,0.005104739115154544,0.12142632648092315
0.7626388271719102,0.7647792998710793,0.022724581853253236,0.10724894899627926
0.7523101926400676,0.9012520439066454,0.01649742132004006,0.10383117343055594
0.7845929351730936,0.8213939033737165,0.005566771210958482,0.11039877903961268
0.7802030476903126,0.8134644186384068,0.00024391108147825467,0.12387102773536121
0.7579769282292447,0.7851070470676308,0.028714555388500585,0.0902574990062175
0.7317186805209678,0.9101696132831394,0.004560239184854262,0.11318327128403557
0.7304857114526934,0.9317665472837379,0.003855617744654322,0.11916953449868152
0.7012440531720049,0.9767790515834834,0.001410744741346046,0.11965773072444269
0.7471940705310476,0.7031842577331475,5.200607299521464e-5,0.12067312573907926
0.7086254083005303,0.9722531283743223,0.004691329315227833,0.11160157653733666
0.74785939318332,0.7100825175771913,0.00021622345453560531,0.10907835303361725
0.7791804480080744,0.8712260580684167,0.0014239892939205009,0.11994384404664046
0.7371977169189601,0.9577238307233124,0.004712450429362803,0.11838953808177834
0.6856090333611784,0.8785864668900515,0.004868863639926102,0.11605996658449724
0.823406865547239,0.8434226644649332,0.0011040739144506414,0.12234981244939917
0.8062741343495683,0.9646331751755698,0.004570513465545484,0.12205492463314686
0.787146302018528,0.7315204456769456,0.0017969767031694784,0.11741387834537101
0.7163235851824856,0.9500797837004505,0.003134372876929198,0.12113463724462342
0.7490556793491374,0.7088604726319663,7.399893957915465e-5,0.12007500763051947
0.7140076449608443,0.9573439968097555,0.0024289660549584305,0.12071525106839387
0.7249433076553792,0.8080704106766886,0.012528251709545381,0.11434789901242413
0.8330330907584461,0.837232542642906,0.005323205803620519,0.11995151462505257
0.7466103030553232,0.6886868728043575,0.00019827724863206224,0.10561296387377525
0.7538633732756885,0.67371085052124,0.0005610386915067989,0.11828519928890072
0.7495538221512751,0.7106280630089711,0.00013249721226450646,0.11697833843096107
0.7166918193259236,0.8724227980382211,0.08632915798944851,0.10510547062537452
0.6776722982792718,0.887756806145202,0.0016738190289741378,0.12131596541498962
0.7029081836302447,0.9761937123662204,0.00577736185156015,0.0914970994514449
0.7487758313402492,0.6847845365015675,2.6697961157743828e-5,0.12307424194794496
0.7457162311216327,0.9190829757972485,0.0018389613522605704,0.12242332766343424
0.7495879990710765,0.6915418858668915,0.00015369420240780228,0.11070433723216179
0.7561961192365463,0.8125501589324496,0.016465831180204282,0.0976438775227312
0.7590719094145806,0.7974467220624769,0.02796150613970779,0.08997353089564217
0.8279003549019761,0.8317868111292868,0.001022196742270503,0.12190346194261537
0.8041660774045698,0.8598399431680612,0.04074136998662879,0.11799478237389337
0.7158695587408365,0.9742483797858913,0.013648232539693028,0.10580476071822724
0.679383465593603,0.8590659057122871,0.03969053314778637,0.09703172193203626
0.7801355965949995,0.8394031553551452,0.0043386344469397015,0.11413175188353958
0.7319247798735377,0.756069492859218,0.016602412689772333,0.11492800284350245
0.707512403866938,0.897064279868437,0.0006563599823716618,0.12490059955479603
0.765163570744148,0.991706814153273,0.00030663585734393985,0.12481012448037176
0.724903436752984,0.9098847931078683,0.01391515748468182,0.09829001906165664
0.7777317258470439,0.8655133576111464,0.0027757582021724833,0.11534392911511496
0.7545216875174181,0.9718575629319681,0.005370686158980961,0.11192614868372418
0.7420172582215886,0.7045969867259124,0.0003787381406311266,0.11716692229752541
0.7875589793029295,0.8368575489945258,0.048567408640786694,0.11009136736667348
0.7824116197345606,0.8560766345252665,0.009908302202178799,0.10856518980342912
0.7516208716884949,0.8208293832742801,0.013500324545913767,0.10836007463561272
0.7501337530862988,0.6939219876200459,8.18661844510034e-5,0.11839972091601346
0.7790808666555317,0.795766706379595,0.0011441175853502455,0.1196336035359783
0.7807403009905288,0.8704824259691034,0.001982025359694574,0.11901233992329577
0.7489013391003512,0.9475675337130741,0.008222165864682815,0.11931576989901467
0.7910980088846495,0.9407384026731366,0.05470262621153928,0.10276928425111427
0.7137352818309755,0.9286576847304481,0.002477148403071218,0.12110732704991732
