spc.dI_max_juv,spc.eta_AS_juv,spc.H_p,spc.k_J_juv,spc.eta_AR,weight,loss
2.23549807900694,0.07595222936958725,2090.0463065242093,0.02,0.4873215524352004,0.011781610446743425,0.019624960106131212
2.311700497795557,0.06053316565211348,2151.175901500274,0.02,0.6233046521852348,0.011021179404349548,0.008076921009303174
2.2722638930489936,0.07521242361004817,1937.9130234679983,0.02,0.5280706722771875,0.011216444937698907,0.024055106855560594
2.2426275909678695,0.07696205488848026,1956.473809842108,0.02,0.5443630861889501,0.011795744941723158,0.00776940143240879
2.2421015864750204,0.07104502179805529,1847.0075551885327,0.02,0.20371738322491365,0.012104522076725393,0.01566246722371777
2.2139959703619887,0.09019841793003638,1938.347128842378,0.02,0.5466525907482357,0.012535234038014402,0.013348964913133182
2.1367945112354616,0.1004235955673951,1778.815115891704,0.02,0.4137505048723082,0.011482982074187211,0.010872993193892549
2.140500287117847,0.08287959351680152,2024.5714149008754,0.02,0.40718151859966045,0.011205920927815806,0.0029714187227028485
2.277746269914865,0.07137943493069845,1440.2020797961775,0.02,0.20579684356501368,0.004235945001063702,0.022573449454239204
2.3487842717863168,0.06285362896597849,2099.9551133147133,0.02,0.5046919325720526,0.01022016561736883,0.01331997994707853
2.381533790969673,0.06409164199420699,2029.9428825065725,0.02,0.3374754467004254,0.011142400301487136,0.009939225585189004
2.1721200914301355,0.10064882314172287,2269.5632794501726,0.02,0.48599492886467643,0.009092159864348708,0.01386960147712887
2.2436211975809193,0.06076017811110473,2209.2884156868568,0.02,0.6435145474374422,0.009383761181527808,0.01012663568641357
2.213521469281312,0.06085928497569508,2040.1889055956492,0.02,0.658773776361942,0.013144824678647535,0.024054703366890022
2.2237760497711823,0.06095979377661277,1832.1647941816707,0.02,0.5253924642494657,0.010197955708007108,0.017592916694120695
2.072680172616698,0.09263499780201019,1553.6504091931215,0.02,0.2823441689406868,0.004135832868306152,0.0069112096080187575
2.3799450040857444,0.04901015742367164,1907.0200481090765,0.02,0.48506894650695875,0.012662905085580451,0.014301683320901305
2.107205765551194,0.08301816438678437,1668.8639545484316,0.02,0.3765116560451138,0.007322610413450686,0.003411950465386454
2.222115714600919,0.07676209602040276,1908.9377686941793,0.02,0.5515557390784092,0.011067926095407962,0.019545262092715183
1.7677686556755863,0.10660660681027505,1561.114264237317,0.02,0.7412625570029651,0.004778922115553027,0.007391533121957718
2.177787706378808,0.0765738372180057,2066.252877906145,0.02,0.489153076173836,0.010666870406050797,0.01656539498389458
2.361609587296736,0.07146033728583537,2149.565321934611,0.02,0.6310476877682617,0.01882592858234362,0.011140250139738874
2.248080426668207,0.07649281215706402,1997.8214677019037,0.02,0.4936184527193422,0.010921814629694958,0.005305594016524255
2.0722012958312686,0.08190327427064936,1722.7959403070004,0.02,0.35708138914510784,0.0065635371090392355,0.01034684856055378
2.126195603484789,0.07530068639499397,2199.7288991775927,0.02,0.6477274760914002,0.019107908312594946,0.02114243629230244
2.259436696224406,0.07128008734458671,1423.2026679111002,0.02,0.20716068682959587,0.0034212026959951087,0.02358581081980489
2.1404372580921893,0.0827019731909434,1776.6017471762384,0.02,0.34457194427387666,0.010723204470354825,0.004483080720728338
2.2784518719104967,0.05987252770929571,2115.704369718575,0.02,0.6460457472517028,0.009478056310591981,0.013206539454464983
2.1551868011688606,0.06345372992606593,1589.2413937063704,0.02,0.37645245239481057,0.005592072894123967,0.020412737014262456
2.4322411166115554,0.06456844803769049,2214.903223165957,0.02,0.4757108561654684,0.00995561146816807,0.012171384148509776
2.343682570560429,0.062501219984074,1934.412642306522,0.02,0.48491473717014455,0.01316474809744531,0.010692442109933569
2.3715237890253347,0.06492388461252095,2049.603457269235,0.02,0.3937323778791481,0.010653714808560906,0.018661200229747453
2.280673024523599,0.09779076639311331,2160.569216408044,0.02,0.6363080467169219,0.010835781952997768,0.019078598961262936
2.2561051119065585,0.06915407788957817,1910.6045241296802,0.02,0.36701690684855914,0.027935801546387685,0.008092608332331589
2.296076146827609,0.05792258536968067,1997.6827547229534,0.02,0.4595036248831219,0.010166371270240948,0.012411087142335306
2.1239791051777974,0.08327064082726886,1918.7334063862547,0.02,0.3531067570152987,0.01522003545113722,0.01700594119148459
2.2865675046702405,0.06493735728415077,1881.3790723640552,0.02,0.4433907356976796,0.010995663651567334,0.009973271520322378
2.2422407714431865,0.06888019487870582,1722.365042778778,0.02,0.2233735413367476,0.010864157751265181,0.004819043388811113
2.0794736752923586,0.09217438696345934,1730.5891846570908,0.02,0.30012186729841317,0.012678663448109154,0.0029035809432160563
2.4080275394246935,0.050455987564825173,2189.041815443318,0.02,0.4860879457762973,0.015462698684577753,0.019670324584461447
2.3572151751885952,0.05739349372465052,2208.8834206699535,0.02,0.4310747609425929,0.010976841264149098,0.008584570049108956
2.0286500998820753,0.08333090661727971,1806.3092613222257,0.02,0.3800019213655536,0.014919190514004952,0.02444157871018635
2.1579493472970244,0.07473707890317047,2097.829445809891,0.02,0.4336712547364268,0.013025851521365971,0.007161566762128835
2.380800482135227,0.06469520791637447,1901.8875043321602,0.02,0.26372461745807874,0.009662913769821443,0.017196925773352977
2.242837132081537,0.06414372065784152,2063.0140603908258,0.02,0.4076285679272472,0.01060856940100744,0.021094647874981567
2.3322634860538374,0.06368896776924252,1669.7389802658615,0.02,0.30986595433905234,0.009538780574729412,0.015761175015379145
2.342082769607484,0.06468466357408924,2068.92181010493,0.02,0.405633044307634,0.009400824979068216,0.006147841535781625
2.0156512182274895,0.08872104332249232,1659.9079824754297,0.02,0.4882532362437616,0.009675825750578175,0.0025661261954048964
2.110958143584245,0.08860005742952733,1860.909391330162,0.02,0.43413315769835775,0.014834417668727874,0.005744247015917474
2.3109572629836195,0.058220999357932374,2129.254821365923,0.02,0.4552822452035283,0.01089718681778817,0.00959036230502273
2.1547874886367007,0.08320480302393919,2016.5367177640906,0.02,0.3855220339192801,0.013962088571711693,0.007252060609521995
2.0596838820963344,0.07593288039319893,1932.732077200944,0.02,0.5959211151876926,0.017678626831765378,0.002118675011456505
2.3267176261728273,0.049940101196530605,1992.371397376669,0.02,0.5025131477213963,0.013640113659998353,0.0212538322842389
2.154873887530787,0.06483673396890809,1662.6729179412039,0.02,0.3510146523752878,0.013726643480296584,0.0065824491524067354
2.068964464481134,0.08202426353040547,1872.509258472726,0.02,0.3744998267262982,0.008395435155403738,0.023223605766141058
2.40476179675684,0.04970184836891582,2062.7914890579036,0.02,0.5193242995219142,0.015659964096697804,0.023251277942334503
2.0721701508647445,0.07607229104873033,1912.9296099832547,0.02,0.6448361692961684,0.010767891354833978,0.0014592296822584572
2.060811828422188,0.08297100052197558,1616.153336411952,0.02,0.38129044965355463,0.005796194772165708,0.02315584489248479
2.360555283164274,0.06388398448974808,1863.2732796877594,0.02,0.4615414367828126,0.010228797313810278,0.01506891646615065
2.1954752014091543,0.06432706960475724,1999.0313025460537,0.02,0.39541569168810115,0.011878208542586437,0.008842561199654703
2.170806319377839,0.07646979983272309,1927.8131704577777,0.02,0.6557140348816853,0.012565655513247603,0.015223281670263572
2.107564378704301,0.07630054076232362,1820.149792132237,0.02,0.6583219439964019,0.008531357812363336,0.02339679579910929
1.9945904680364197,0.10037932801370503,1825.2405388419434,0.02,0.4745673506657224,0.018755023524730456,0.0014016565503480202
2.159216858228618,0.07645616521657178,1968.8378838694466,0.02,0.43992817409597773,0.013965857517803793,0.007858927703494025
2.3499955300187905,0.06087912841615353,2285.1242175298203,0.02,0.4719964464875289,0.009436303883754887,0.010738527434894021
2.163867867274256,0.077366410145586,1884.2030618212657,0.02,0.588017541332604,0.01179399410001127,0.0024173623100754
2.197135947069086,0.07636987273874227,1761.205176924781,0.02,0.5199697054925818,0.008411819317415968,0.009288253305512858
2.435169924838982,0.060509554635381414,1987.5268373533688,0.02,0.37771706987171855,0.012334592782470333,0.014725931292524528
2.057631236169245,0.0832117095162888,1646.873787284768,0.02,0.4080899677766703,0.00922976709958322,0.0020507726623936063
2.3897111518840477,0.06471265026759383,2206.0343730245177,0.02,0.40701152749903335,0.008695478462523668,0.02212405305530509
2.0693382374391946,0.0879926335330216,2129.121506669193,0.02,0.5532949225697746,0.013208211732857982,0.02436465341471799
2.094922273986674,0.07506766724557228,2151.0335686800845,0.02,0.5542400053649987,0.025016667707882665,0.004445529185106165
2.264284203535023,0.08260901525177446,1776.967363101745,0.02,0.4390897658896885,0.016817979665336585,0.02199060615470777
2.0031073876647465,0.09280258332863146,1909.8773772161658,0.02,0.3145623115100838,0.014006173175870112,0.009553846812434893
2.305599161250078,0.06632665259069417,2072.600691737172,0.02,0.44476891321872036,0.011523690290383085,0.007929120317184074
2.057505669746938,0.08893997568709186,2076.494955478216,0.02,0.5567897973854341,0.012625044227525231,0.018740422671805486
2.122249370343928,0.09346468137570418,1960.590207261649,0.02,0.4034509352447276,0.016323561170401128,0.0021112434465882304
2.325738076246416,0.06960506619623934,2149.6717507318076,0.02,0.41047162742345394,0.012166539399378059,0.021161714518743078
2.2115019205276147,0.07650469906949785,1861.9602724140482,0.02,0.4473367490959492,0.011677818031452465,0.008486089812775634
1.9945722580519534,0.09252497419607986,1670.4262796923908,0.02,0.40719846443944174,0.015193758550807334,0.014017213035740222
2.1863374855395197,0.100455769482874,1925.1005611887695,0.02,0.4487538197856551,0.013861408075081377,0.01958448380576336
2.310092801488715,0.07078505298735074,1399.668638643435,0.02,0.15284101700052177,0.0005707348226063978,0.01462432553102737
1.8810224326171527,0.08741477225538227,1555.9090026353895,0.02,0.2593800747270421,0.013636251367988154,0.013320101347036211
2.2367350120974856,0.09136362064803591,1874.4952610367336,0.02,0.4167795617364988,0.010429077015443235,0.01912009578327028
2.305202379887187,0.07021756731504536,1377.7309145590898,0.02,0.17636087984216567,0.0004508059967230086,0.018127905196845148
2.358694444546617,0.04965686665781624,2270.516081547878,0.02,0.45084486714865896,0.008751816204527231,0.015357988660031898
2.130019070824493,0.08885263549340894,1767.9594083247696,0.02,0.4586155775010163,0.01098335519206705,0.008869951895155914
